"Time","Kind","Trigger","Pid","Name","Path","Cmd","ParentPid","ParentName","ParentPath","ParentCmd"
"2026-04-16 00:54:38.160","PORT5037","ListenerPidChanged","0","","","","0","","",""
"2026-04-16 00:54:38.876","PROC_START","adb.exe_started_poll","30212","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","""C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe"" start-server","21760","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Command ""[Console]::OutputEncoding=[System.Text.Encoding]::UTF8;
$script = Resolve-Path .\scripts\trace-adb-conflict-source.ps1; $adb='C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe'; $job = Start-Job -ScriptBlock { param($s) powershell -ExecutionPolicy Bypass -File $s -DurationSec 12 -PollMs 500 } -ArgumentList $script; Start-Sleep -Seconds 2; & $adb kill-server | Out-Null; Start-Sleep -Milliseconds 700; & $adb start-server | Out-Null; Wait-Job $job | Out-Null; Receive-Job $job; Remove-Job $job"""
"2026-04-16 00:54:39.408","PROC_START","adb.exe_started_detected_by_scan","30212","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","""C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe"" start-server","21760","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Command ""[Console]::OutputEncoding=[System.Text.Encoding]::UTF8;
$script = Resolve-Path .\scripts\trace-adb-conflict-source.ps1; $adb='C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe'; $job = Start-Job -ScriptBlock { param($s) powershell -ExecutionPolicy Bypass -File $s -DurationSec 12 -PollMs 500 } -ArgumentList $script; Start-Sleep -Seconds 2; & $adb kill-server | Out-Null; Start-Sleep -Milliseconds 700; & $adb start-server | Out-Null; Wait-Job $job | Out-Null; Receive-Job $job; Remove-Job $job"""
"2026-04-16 00:54:39.413","PROC_STOP","adb.exe_stopped_detected_by_scan","5292","adb.exe","","","0","","",""
"2026-04-16 00:54:41.074","PORT5037","ListenerPidChanged","37840","","","","0","","",""
"2026-04-16 00:54:41.543","PROC_START","adb.exe_started_poll","34928","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe start-server","31064","idea64.exe","E:\IntelliJ IDEA Community Edition 2025.2.6.1\bin\idea64.exe","""E:\IntelliJ IDEA Community Edition 2025.2.6.1\bin\idea64.exe"" "
"2026-04-16 00:54:42.028","PROC_START","adb.exe_started_poll","36128","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe start-server","34776","studio64.exe","E:\anzhuo\bin\studio64.exe","""E:\anzhuo\bin\studio64.exe"""
"2026-04-16 00:54:42.978","PROC_START","adb.exe_started_detected_by_scan","11148","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","adb -L tcp:5037 fork-server server --reply-fd 748","34928","","",""
"2026-04-16 00:54:43.494","PROC_START","adb.exe_started_detected_by_scan","36128","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe start-server","34776","studio64.exe","E:\anzhuo\bin\studio64.exe","""E:\anzhuo\bin\studio64.exe"""
"2026-04-16 00:54:43.993","PROC_START","adb.exe_started_detected_by_scan","36288","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","adb -L tcp:5037 fork-server server --reply-fd 740","36128","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe start-server"
"2026-04-16 00:54:43.995","PROC_STOP","adb.exe_stopped_detected_by_scan","30212","adb.exe","","","0","","",""
"2026-04-16 00:54:46.020","PORT5037","ListenerPidChanged","11148","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","adb -L tcp:5037 fork-server server --reply-fd 748","34928","","",""
"2026-04-16 00:54:46.499","PROC_START","adb.exe_started_poll","11148","adb.exe","C:\Users\YaoFeng\AppData\Local\Android\Sdk\platform-tools\adb.exe","adb -L tcp:5037 fork-server server --reply-fd 748","34928","","",""
"2026-04-16 00:54:47.260","PROC_STOP","adb.exe_stopped_detected_by_scan","36128","adb.exe","","","0","","",""
"2026-04-16 00:54:47.263","PROC_STOP","adb.exe_stopped_detected_by_scan","36288","adb.exe","","","0","","",""
